2021-10-07 10:49:41.334 +06:00 [INF] Application Starting up
2021-10-07 22:50:11.038 +06:00 [INF] Worker running at: "2021-10-07T22:50:11.0320428+06:00"
2021-10-07 22:52:11.324 +06:00 [INF] Worker running at: "2021-10-07T22:52:11.3240962+06:00"
2021-10-07 22:54:15.133 +06:00 [INF] Worker running at: "2021-10-07T22:54:15.1334733+06:00"
2021-10-07 22:56:15.135 +06:00 [INF] Worker running at: "2021-10-07T22:56:15.1349727+06:00"
2021-10-07 22:58:15.149 +06:00 [INF] Worker running at: "2021-10-07T22:58:15.1495822+06:00"
2021-10-07 23:00:15.587 +06:00 [INF] Worker running at: "2021-10-07T23:00:15.5873669+06:00"
2021-10-07 23:02:15.608 +06:00 [INF] Worker running at: "2021-10-07T23:02:15.6086877+06:00"
2021-10-07 23:04:15.608 +06:00 [INF] Worker running at: "2021-10-07T23:04:15.6088840+06:00"
2021-10-07 23:06:15.616 +06:00 [INF] Worker running at: "2021-10-07T23:06:15.6164821+06:00"
2021-10-07 23:08:15.626 +06:00 [INF] Worker running at: "2021-10-07T23:08:15.6265319+06:00"
2021-10-07 23:10:15.639 +06:00 [INF] Worker running at: "2021-10-07T23:10:15.6396644+06:00"
2021-10-07 23:12:15.655 +06:00 [INF] Worker running at: "2021-10-07T23:12:15.6554820+06:00"
2021-10-07 23:14:15.656 +06:00 [INF] Worker running at: "2021-10-07T23:14:15.6563956+06:00"
2021-10-07 23:16:15.668 +06:00 [INF] Worker running at: "2021-10-07T23:16:15.6685320+06:00"
2021-10-07 23:18:15.680 +06:00 [INF] Worker running at: "2021-10-07T23:18:15.6800269+06:00"
2021-10-07 23:20:15.683 +06:00 [INF] Worker running at: "2021-10-07T23:20:15.6830946+06:00"
2021-10-07 23:22:15.694 +06:00 [INF] Worker running at: "2021-10-07T23:22:15.6949221+06:00"
2021-10-07 23:24:15.706 +06:00 [INF] Worker running at: "2021-10-07T23:24:15.7065192+06:00"
2021-10-07 23:26:15.717 +06:00 [INF] Worker running at: "2021-10-07T23:26:15.7177285+06:00"
2021-10-07 23:28:15.772 +06:00 [INF] Worker running at: "2021-10-07T23:28:15.7727085+06:00"
2021-10-07 23:30:15.780 +06:00 [INF] Worker running at: "2021-10-07T23:30:15.7807824+06:00"
2021-10-07 23:32:15.905 +06:00 [INF] Worker running at: "2021-10-07T23:32:15.9057255+06:00"
